,id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
39812,4309,LIBC,medium_airport,Crotone Airport,38.9972,17.0802,522.0,EU,IT,IT-78,Crotone,yes,LIBC,CRV,KR01,http://www.aeroporto.kr.it/cartaservizi_eng.asp,https://en.wikipedia.org/wiki/Crotone_Airport,Sant'Anna Airport
39813,4310,LIBD,large_airport,Bari Karol Wojtyła Airport,41.138901,16.760599,177.0,EU,IT,IT-75,Bari,yes,LIBD,BRI,BA02,http://www.seap-puglia.it/default.asp?idlingua=2&idcontenuto=25,https://en.wikipedia.org/wiki/Bari_Karol_Wojty%C5%82a_Airport,"Bari ""Karol Wojtyla"" International Airport, Palese Macchie Airport, Palese Airport"
39814,4311,LIBF,medium_airport,"Foggia ""Gino Lisa"" Airport",41.432899,15.535,265.0,EU,IT,IT-75,Foggia,yes,LIBF,FOG,FG05,,https://en.wikipedia.org/wiki/Foggia_%22Gino_Lisa%22_Airport,Foggia Airport
39815,4312,LIBG,medium_airport,"Taranto-Grottaglie ""Marcello Arlotta"" Airport",40.517502,17.4032,215.0,EU,IT,IT-75,Grottaglie,no,LIBG,TAR,TA02,,https://en.wikipedia.org/wiki/Taranto-Grottaglie_Airport,"M Arlotta, Taranto-Grottaglie Airport, Grottaglie Airport"
39818,4313,LIBN,medium_airport,Lecce Galatina Air Base,40.239201,18.133301,156.0,EU,IT,IT-75,,no,LIBN,LCC,LE08,,https://en.wikipedia.org/wiki/Lecce_Galatina_Air_Base,Galatina
39819,4314,LIBP,medium_airport,Abruzzo Airport,42.431702,14.1811,48.0,EU,IT,IT-65,Pescara,yes,LIBP,PSR,PE01,http://www.abruzzo-airport.it/eng/index.php,https://en.wikipedia.org/wiki/Abruzzo_Airport,"Pescara, Abruzzo Pasquale Liberi International"
39820,4315,LIBR,large_airport,Brindisi Airport,40.6576,17.947001,47.0,EU,IT,IT-75,Brindisi,yes,LIBR,BDS,BR03,http://www.seap-puglia.it/default.asp?idlingua=2&idcontenuto=29,https://en.wikipedia.org/wiki/Brindisi_Airport,"Brindisi Papola Casale Airport, Brindisi Salento Airport, Brindisi Casale Antonio Papolo Airport, Salento Airport"
39823,4317,LICA,medium_airport,Lamezia Terme Airport,38.905399,16.2423,39.0,EU,IT,IT-78,Lamezia Terme (CZ),yes,LICA,SUF,CZ02,,https://en.wikipedia.org/wiki/Lamezia_Terme_International_Airport,
39824,298716,LICB,medium_airport,Comiso Airport,36.994601,14.607182,623.0,EU,IT,IT-82,Comiso,yes,LICB,CIY,RG06,http://www.aeroportodicomiso.it/,https://en.wikipedia.org/wiki/Comiso_Airport,"Vincenzo Magliocco Airport, Aeroporto di Comiso"
39825,4318,LICC,large_airport,Catania-Fontanarossa Airport,37.466801,15.0664,39.0,EU,IT,IT-82,Catania,yes,LICC,CTA,CT03,http://www.aeroporto.catania.it/,https://en.wikipedia.org/wiki/Catania-Fontanarossa_Airport,"Lanza Di Trabie, Catania-Fontanarossa Vincenzo Bellini"
